"seqnames" "start" "end" "width" "strand"
"1" "chr1" 1 11868 11868 "*"
"2" "chr1" 29571 69054 39484 "*"
"3" "chr1" 70109 139789 69681 "*"
"4" "chr1" 140340 182695 42356 "*"
"5" "chr1" 184175 594190 410016 "*"
"6" "chr1" 633130 725884 92755 "*"
"7" "chr1" 778627 817370 38744 "*"
"8" "chr1" 819838 825137 5300 "*"
"9" "chr1" 859447 868070 8624 "*"
"10" "chr1" 877235 916869 39635 "*"
"11" "chr1" 919693 923927 4235 "*"
"12" "chr1" 959310 960586 1277 "*"
"13" "chr1" 965716 966496 781 "*"
"14" "chr1" 982094 998961 16868 "*"
"15" "chr1" 1000173 1001137 965 "*"
"16" "chr1" 1014541 1020122 5582 "*"
"17" "chr1" 1056119 1059733 3615 "*"
"18" "chr1" 1069356 1070965 1610 "*"
"19" "chr1" 1074308 1081817 7510 "*"
"20" "chr1" 1116362 1137016 20655 "*"
"21" "chr1" 1144057 1167103 23047 "*"
"22" "chr1" 1167199 1167862 664 "*"
"23" "chr1" 1167953 1169004 1052 "*"
"24" "chr1" 1169088 1173883 4796 "*"
"25" "chr1" 1197936 1203507 5572 "*"
"26" "chr1" 1206692 1211325 4634 "*"
"27" "chr1" 1214139 1216907 2769 "*"
"28" "chr1" 1232032 1232225 194 "*"
"29" "chr1" 1235042 1242445 7404 "*"
"30" "chr1" 1246723 1253908 7186 "*"
"31" "chr1" 1273886 1280435 6550 "*"
"32" "chr1" 1292030 1292375 346 "*"
"33" "chr1" 1324692 1324755 64 "*"
"34" "chr1" 1328898 1331313 2416 "*"
"35" "chr1" 1349351 1352688 3338 "*"
"36" "chr1" 1361778 1373729 11952 "*"
"37" "chr1" 1375496 1385710 10215 "*"
"38" "chr1" 1399329 1399521 193 "*"
"39" "chr1" 1407314 1418419 11106 "*"
"40" "chr1" 1421770 1426127 4358 "*"
"41" "chr1" 1427788 1430538 2751 "*"
"42" "chr1" 1434574 1434860 287 "*"
"43" "chr1" 1442883 1449688 6806 "*"
"44" "chr1" 1470159 1471768 1610 "*"
"45" "chr1" 1497849 1512150 14302 "*"
"46" "chr1" 1534688 1535173 486 "*"
"47" "chr1" 1540454 1541672 1219 "*"
"48" "chr1" 1574870 1598011 23142 "*"
"49" "chr1" 1600097 1615414 15318 "*"
"50" "chr1" 1630611 1632094 1484 "*"
"51" "chr1" 1701783 1702729 947 "*"
"52" "chr1" 1746000 1751231 5232 "*"
"53" "chr1" 1780458 1785284 4827 "*"
"54" "chr1" 1891118 1914826 23709 "*"
"55" "chr1" 1917297 1917589 293 "*"
"56" "chr1" 1919274 1921950 2677 "*"
"57" "chr1" 2003838 2019297 15460 "*"
"58" "chr1" 2030759 2049202 18444 "*"
"59" "chr1" 2050071 2050469 399 "*"
"60" "chr1" 2212721 2228694 15974 "*"
"61" "chr1" 2310120 2321252 11133 "*"
"62" "chr1" 2391708 2391774 67 "*"
"63" "chr1" 2413798 3021482 607685 "*"
"64" "chr1" 3022904 3059614 36711 "*"
"65" "chr1" 3068438 3069167 730 "*"
"66" "chr1" 3438622 3454425 15804 "*"
"67" "chr1" 3481114 3489919 8806 "*"
"68" "chr1" 3611496 3625001 13506 "*"
"69" "chr1" 3630128 3630766 639 "*"
"70" "chr1" 3771646 3772760 1115 "*"
"71" "chr1" 3775983 3778557 2575 "*"
"72" "chr1" 3796505 3812080 15576 "*"
"73" "chr1" 3857215 3857266 52 "*"
"74" "chr1" 3885430 3889124 3695 "*"
"75" "chr1" 3900294 3900371 78 "*"
"76" "chr1" 3917226 3940564 23339 "*"
"77" "chr1" 3955263 4412026 456764 "*"
"78" "chr1" 4424690 4571480 146791 "*"
"79" "chr1" 4594010 4654731 60722 "*"
"80" "chr1" 4792535 5862671 1070137 "*"
"81" "chr1" 5862742 5862810 69 "*"
"82" "chr1" 6101194 6101792 599 "*"
"83" "chr1" 6239445 6244191 4747 "*"
"84" "chr1" 6245579 6247345 1767 "*"
"85" "chr1" 6260976 6264268 3293 "*"
"86" "chr1" 6394392 6412417 18026 "*"
"87" "chr1" 6424671 6424775 105 "*"
"88" "chr1" 6520062 6521346 1285 "*"
"89" "chr1" 6554536 6555180 645 "*"
"90" "chr1" 6579758 6580000 243 "*"
"91" "chr1" 6589281 6590723 1443 "*"
"92" "chr1" 6624034 6624865 832 "*"
"93" "chr1" 6701925 6724636 22712 "*"
"94" "chr1" 6730013 6783891 53879 "*"
"95" "chr1" 6784844 6785323 480 "*"
"96" "chr1" 7769707 7771268 1562 "*"
"97" "chr1" 7781433 7784319 2887 "*"
"98" "chr1" 7853513 7915893 62381 "*"
"99" "chr1" 7943166 7954290 11125 "*"
"100" "chr1" 7985506 8004403 18898 "*"
"101" "chr1" 8026309 8202428 176120 "*"
"102" "chr1" 8215211 8317825 102615 "*"
"103" "chr1" 8344168 8352396 8229 "*"
"104" "chr1" 8817644 8860999 43356 "*"
"105" "chr1" 8879895 8945866 65972 "*"
"106" "chr1" 8975093 9003299 28207 "*"
"107" "chr1" 9026346 9035106 8761 "*"
"108" "chr1" 9088479 9100304 11826 "*"
"109" "chr1" 9129171 9148010 18840 "*"
"110" "chr1" 9196285 9234774 38490 "*"
"111" "chr1" 9271338 9292879 21542 "*"
"112" "chr1" 9369533 9425093 55561 "*"
"113" "chr1" 9440565 9539481 98917 "*"
"114" "chr1" 9585180 9588921 3742 "*"
"115" "chr1" 9614874 9651731 36858 "*"
"116" "chr1" 9824527 9848275 23749 "*"
"117" "chr1" 9910337 9922112 11776 "*"
"118" "chr1" 9985502 9997205 11704 "*"
"119" "chr1" 10016021 10032831 16811 "*"
"120" "chr1" 10181240 10210804 29565 "*"
"121" "chr1" 10381604 10398591 16988 "*"
"122" "chr1" 10420145 10430101 9957 "*"
"123" "chr1" 10452154 10456521 4368 "*"
"124" "chr1" 10630759 10636603 5845 "*"
"125" "chr1" 10796651 10946470 149820 "*"
"126" "chr1" 10982038 11012343 30306 "*"
"127" "chr1" 11047234 11054583 7350 "*"
"128" "chr1" 11060025 11066617 6593 "*"
"129" "chr1" 11102101 11106534 4434 "*"
"130" "chr1" 11262508 11273205 10698 "*"
"131" "chr1" 11296050 11479165 183116 "*"
"132" "chr1" 11537585 11609530 71946 "*"
"133" "chr1" 11613356 11637017 23662 "*"
"134" "chr1" 11663328 11664123 796 "*"
"135" "chr1" 11674355 11674479 125 "*"
"136" "chr1" 11691651 11691728 78 "*"
"137" "chr1" 11725858 11736083 10226 "*"
"138" "chr1" 11754803 11761786 6984 "*"
"139" "chr1" 11848346 11857463 9118 "*"
"140" "chr1" 11858932 11908151 49220 "*"
"141" "chr1" 11908272 11919590 11319 "*"
"142" "chr1" 11926429 11934204 7776 "*"
"143" "chr1" 11975539 11980180 4642 "*"
"144" "chr1" 12013515 12019465 5951 "*"
"145" "chr1" 12032046 12063376 31331 "*"
"146" "chr1" 12144208 12166942 22735 "*"
"147" "chr1" 12209229 12230029 20801 "*"
"148" "chr1" 12512048 12567909 55862 "*"
"149" "chr1" 12617732 12644546 26815 "*"
"150" "chr1" 12667087 12716114 49028 "*"
"151" "chr1" 12728760 12746214 17455 "*"
"152" "chr1" 12763700 12774840 11141 "*"
"153" "chr1" 12777907 12791396 13490 "*"
"154" "chr1" 12796629 12822685 26057 "*"
"155" "chr1" 12823160 12824604 1445 "*"
"156" "chr1" 12831411 12847407 15997 "*"
"157" "chr1" 12848726 12857085 8360 "*"
"158" "chr1" 12861910 12879223 17314 "*"
"159" "chr1" 12886202 12892895 6694 "*"
"160" "chr1" 12898271 12916609 18339 "*"
"161" "chr1" 12920483 12938471 17989 "*"
"162" "chr1" 12947581 13128817 181237 "*"
"163" "chr1" 13131616 13164585 32970 "*"
"164" "chr1" 13165468 13222704 57237 "*"
"165" "chr1" 13226107 13315580 89474 "*"
"166" "chr1" 13322599 13342033 19435 "*"
"167" "chr1" 13347135 13369066 21932 "*"
"168" "chr1" 13371901 13389631 17731 "*"
"169" "chr1" 13392630 13410449 17820 "*"
"170" "chr1" 13421329 13474976 53648 "*"
"171" "chr1" 13514049 13583464 69416 "*"
"172" "chr1" 13617958 13700197 82240 "*"
"173" "chr1" 13825080 13892791 67712 "*"
"174" "chr1" 15220481 15247271 26791 "*"
"175" "chr1" 15400284 15409894 9611 "*"
"176" "chr1" 15430344 15438438 8095 "*"
"177" "chr1" 15449243 15456727 7485 "*"
"178" "chr1" 15526535 15526812 278 "*"
"179" "chr1" 15592380 15617499 25120 "*"
"180" "chr1" 15669045 15684331 15287 "*"
"181" "chr1" 15734770 15736404 1635 "*"
